"individual.local.identifier","timestamp","COV.x.x","COV.y.y","COV.x.y","location.long","location.lat"
"SG-005","2018-01-18 20:33:00",0.265179033637611,0.786334724155803,-0.448362763710406,-122.230201690931,44.2113802274878
"SG-003","2018-01-18 20:56:00",115931.213661886,59028.5190007598,-72770.0397210559,-122.215869046334,44.2214614063474
"SG-002","2018-01-18 21:22:00",22234.1294592672,55417.4200191416,2768.69099770869,-122.151770936245,44.2101974466328
"SG-001","2018-01-19 21:12:00",6.70749456367862,13.0939482364442,-4.74053185824939,-122.235458061509,44.1949893902245
"SG-003","2018-01-19 22:42:00",10256.6805317859,26494.8894974692,-9363.10722044002,-122.206923958883,44.2206474177581
"SG-003","2018-01-20 20:12:00",8.44238371826274,6.52227920948684,2.42575212701002,-122.208483851224,44.2197457699524
"SG-001","2018-01-20 21:17:00",33.0560069679802,43.0716094811773,9.18909822945143,-122.231691593897,44.1898293151342
"SG-001","2018-01-22 21:37:00",253.924233320224,319.969936542285,-194.438952524209,-122.243306220256,44.1933954412438
"SG-003","2018-01-22 22:36:00",25493.2443457224,15319.4760625462,-15871.1816433397,-122.205821211996,44.2194603920462
"SG-005","2018-01-22 23:16:00",983.320201930167,6871.27858711846,44.3117871179859,-122.230821899806,44.2123087041856
"SG-005","2018-01-23 20:17:00",27.0435875142941,43.947596148137,27.3823968550333,-122.221958871695,44.214644780773
"SG-001","2018-01-23 21:33:00",72473.5257545953,91748.8318269911,-74083.6928861017,-122.230208368226,44.1777066327406
"SG-005","2018-01-24 21:09:00",10.8280784898715,74.3153446313457,-0.0878179039252805,-122.218519411388,44.2143090534866
"SG-001","2018-01-24 22:14:00",45774.3097436206,30600.9297858633,-29081.0112075882,-122.224425296726,44.1738503507451
"SG-001","2018-01-25 20:30:00",74456.6496137035,34417.0320243891,-42946.8517297409,-122.249865355607,44.1930087486067
"SG-005","2018-01-25 21:11:00",332.622063896697,931.93023835599,171.327489800217,-122.21919952318,44.2147018511661
"SG-005","2018-01-26 21:52:00",14.2032318899653,10.3482639230435,-8.36657751191355,-122.217581270016,44.2167415730537
"SG-005","2018-01-27 20:15:00",15.8126948771521,2446.07837659137,12.9779594170036,-122.20995116435,44.2191545627572
"SG-001","2018-01-27 20:57:00",350.245576644254,1352.98424408038,-286.510343273487,-122.234414427615,44.1773820814031
"SG-003","2018-01-28 20:55:00",3.79606154273432,5.07213224812143,-2.22632988337893,-122.206901173737,44.2196197147543
"SG-011","2018-01-30 21:30:00",1,1,0,-122.217782519654,44.1986743175082
"SG-005","2018-01-31 20:42:00",1,1,0,-122.22948502289,44.2043358146628
"SG-005","2018-01-31 21:03:00",1133.48107486279,417.566371085452,-568.213148308598,-122.212754488121,44.2058686400553
"SG-001","2018-02-01 20:44:00",1801.87903583187,8203.06270436852,335.316451046569,-122.212783455129,44.2026928519411
"SG-005","2018-02-01 21:05:00",10259.0762851928,15698.5291756465,-1815.37574919168,-122.203779375369,44.1996615753626
"SG-003","2018-02-02 19:51:00",217957.770660077,1367506.09134456,-542275.341400465,-122.279866800666,44.2960012775927
